source,stratum,era,key,surname,cand_ini,cand_years,elected,score,hit_name,hit_year,hit_place,derived_ini,female_flag,first_initial_match,verdict,reasoning
openarch,famous_mp,pr_1918_1937,sc:bakker|ja,Bakker,JA,1918-1929,True,0.507,Albertus Arend Bakker,1873.0,Genemuiden,AA,False,False,FALSE,"initials mismatch (JA vs AA), surname-only coincidence"
openarch,famous_mp,district_1848_1918,1382,Troelstra,PJ,1894-1917,True,0.531,Pieter Troelstra,1860.0,Leeuwarden,P,False,True,TRUE,"Pieter Jelles Troelstra, famous SDAP leader b.1860 Leeuwarden -- exact historical match, partial initials due to record only capturing 'Pieter'"
openarch,famous_mp,district_1848_1918,658,van den Biesen,JJW,1866-1887,True,0.53,Joanna Josina Van Den Biesen,1836.0,Essene,JJ,True,True,FALSE,"gender mismatch: hit is female (Joanna Josina), candidate is a pre-1918 district MP (necessarily male)"
openarch,famous_mp,district_1848_1918,682,Kist,HJ,1881-1887,True,0.502,Harm Gerrit Kist,1836.0,Hasselt,HG,False,True,FALSE,"second initial mismatch (Harm Gerrit=HG vs candidate H.J.), likely different family member"
openarch,famous_mp,district_1848_1918,286,Verweij,SA,1852-1856,True,0.514,Steijntje Verweij,1813.0,Harmelen,S,True,True,FALSE,"gender mismatch: hit is female (Steijntje), candidate is pre-1918 district MP"
openarch,obscure_loser,pr_1918_1937,sc:polak|nj,Polak,NJ,1933-1933,False,0.502,Abraham Jacob Polak,1872.0,Den Helder,AJ,False,False,FALSE,"initials mismatch (NJ vs AJ), surname-only coincidence"
openarch,obscure_loser,district_1848_1918,1313,Cuypers,PJH,1897-1897,False,0.622,Gertruda Josephina Hubertina Cuypers,1862.0,Roermond,GJH,True,False,FALSE,gender mismatch (Gertruda) AND first-initial mismatch (P vs G)
openarch,obscure_loser,pr_1918_1937,sc:geertjes|hd,Geertjes,HD,1937-1937,False,0.529,Harmanna Geertjes,1881.0,Steenwijksmoer,H,True,True,FALSE,"hit is female (Harmanna), only first initial confirmed"
openarch,obscure_loser,pr_1918_1937,sc:wetzels|bl,Wetzels,BL,1937-1937,False,0.547,Baltazar Wetzels,1863.0,Heerlen,B,False,True,TRUE,"Baltazar is a rare/distinctive first name, first initial matches, plausible age (74 at 1937 candidacy)"
openarch,obscure_loser,pr_1918_1937,sc:baart|sp,Baart,SP,1918-1918,False,0.513,Celestina PetronElla Baart,1879.0,Hulst,CP,True,False,FALSE,"first-initial mismatch (S vs C), hit is also female (Celestina)"
openarch,common_surname,district_1848_1918,1455,Smit,JW,1901-1913,False,0.511,Aafke Wytzes Smit,1843.0,Schoterland,AW,True,False,FALSE,gender mismatch (Aafke) AND first-initial mismatch (J vs A)
openarch,common_surname,pr_1918_1937,sc:devisser|rj,de Visser,RJ,1922-1922,False,0.504,Adriaan Jacob de Visser,1874.0,Klundert,AJ,False,False,FALSE,"first-initial mismatch (R vs A), surname-only coincidence (common surname)"
openarch,common_surname,pr_1918_1937,sc:denhertog|acg,den Hertog,ACG,1922-1937,False,0.657,Abraham Cornelis den Hertog,1869.0,Goes,AC,False,True,TRUE,"first two initials match exactly (A.C.), third (G) simply not captured in the 2-given-name record"
openarch,common_surname,pr_1918_1937,sc:vandenberg|kj,van den Berg,KJ,1937-1937,False,0.5,Aagje Jacoba van den Berg,1893.0,Jaarsveld,AJ,True,False,FALSE,gender mismatch (Aagje) AND first-initial mismatch (K vs A)
openarch,common_surname,pr_1918_1937,sc:devries|cw,de Vries,CW,1933-1937,False,0.505,Aafje Wilhelmina de Vries,1903.0,Zaandam,AW,True,False,FALSE,gender mismatch (Aafje) AND first-initial mismatch (C vs A)
genealogieonline,famous_mp,district_1848_1918,626,van den Berch van Heemstede,JLC,1868-1877,True,0.681,Isaac Lambert Cremer Jonkheer van den Berch van Heemstede,1811.0,,ILC,False,False,TRUE,"distinctive rare aristocratic surname; leading 'J' in candidate initials plausibly the 'Jonkheer' title folded into the initials field, not a first-name initial -- L,C match Lambert/Cremer; age 57-66 plausible"
genealogieonline,famous_mp,district_1848_1918,1517,van LÃ¶ben Sels,ADPV,1897-1901,True,0.653,Alexander Dirk Peter Valentijn van Löben-Sels,1847.0,,ADPVL,False,True,TRUE,initials A-D-P-V match 'Alexander Dirk Peter Valentijn' exactly in order; rare surname; age 50 at candidacy
genealogieonline,famous_mp,pr_1918_1937,sc:reijmer|pj,Reijmer,PJ,1918-1922,True,0.542,Jacobus Johannes Reijmer,1879.0,,JJ,False,False,FALSE,"first-initial mismatch (P vs J), different given name entirely"
genealogieonline,famous_mp,district_1848_1918,1690,Rutgers,VH,1909-1917,True,0.542,Aart Hendrik Rutgers,1875.0,,AH,False,False,FALSE,"first-initial mismatch (V vs A); external knowledge: this is almost certainly Victor Hugo Rutgers (real ARP minister), not 'Aart Hendrik Rutgers'"
genealogieonline,famous_mp,district_1848_1918,354,Attema,EJ,1884-1884,True,0.582,Eilard-Jacobus Attema,1818.0,,E,False,True,TRUE,'Eilard-Jacobus' hyphenated given name = E.J. exactly; rare first name 'Eilard'; age 66 plausible
genealogieonline,obscure_loser,pr_1918_1937,sc:lindeijer|gf,Lindeijer,GF,1918-1922,False,0.582,Gottfried Lindeijer,1885.0,,G,False,True,TRUE,"first initial matches (Gottfried), rare-ish surname, age 33-37 at candidacy fits well"
genealogieonline,obscure_loser,pr_1918_1937,sc:kessels|pj,Kessels,PJ,1933-1933,False,0.542,Catharina Josephina Kessels,1888.0,,CJ,True,False,FALSE,gender mismatch (Catharina) AND first-initial mismatch (C vs P)
genealogieonline,obscure_loser,district_1848_1918,496,Steyn ParvÃ©,DC,1852-1852,False,0.542,Daniel Jan Steijn Parvâ©,1791.0,,DJ,False,True,FALSE,"second initial mismatch (Daniel Jan=DJ vs candidate D.C.) despite rare distinctive surname -- likely a relative, not the candidate"
genealogieonline,obscure_loser,pr_1918_1937,sc:vanboeijen|hv,van Boeijen,HV,1922-1922,False,0.582,"""Cornelis"" Hendrik van Boeijen",1875.0,,CH,False,False,FALSE,candidate's second initial V unaccounted for in hit's real names (Cornelis Hendrik)
genealogieonline,obscure_loser,pr_1918_1937,sc:michels|aw,Michels,AW,1918-1922,False,0.582,Adrianus Michels,1866.0,,A,False,True,UNSURE-TRUE,"first initial matches (Adrianus), second initial W unconfirmed (single given name in record), moderately common surname"
genealogieonline,common_surname,pr_1918_1937,sc:jansen|cm,Jansen,CM,1925-1925,False,0.542,(3) Hendrica Maria Jansen,1862.0,,HM,False,False,FALSE,"gender mismatch (Hendrica) AND first-initial mismatch (H vs C), extremely common surname"
genealogieonline,common_surname,pr_1918_1937,sc:dejong|mc,de Jong,MC,1933-1933,False,0.542,(Maria Maximilliane) Wilhelmina de JONG,1871.0,,MW,True,True,FALSE,"gender mismatch (Maria/Wilhelmina), weak initials evidence, very common surname"
genealogieonline,common_surname,pr_1918_1937,sc:vanwijngaarden|cm,van Wijngaarden,CM,1929-1929,False,0.542,Adrianus Matthijs van Wijngaarden,1858.0,,AM,False,False,FALSE,first-initial mismatch (A vs C)
genealogieonline,common_surname,district_1848_1918,1462,Bergsma,AJCJS,1901-1901,False,0.51,Albert Jelles Bergsma,1838.0,,AJ,False,True,TRUE,"first two initials match (A,J); remaining 3 initials plausibly a Frisian patronymic chain not captured by a 2-given-name record; age 63 plausible"
genealogieonline,common_surname,pr_1918_1937,sc:vanroyen|jt,van Royen,JT,1922-1922,False,0.542,Domien Theophiel van Royen,1859.0,,DT,True,False,FALSE,first-initial mismatch (J vs D)
